model,f1,f1_low_95,f1_high_95,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,throughput_tok_per_s,cold_start_ms,model_size_mb,train_seconds
HMM,0.6378939828080228,0.6227851907874329,0.6531114670215983,1.2191804017679737,0.9345000144094229,3.2511400058865534,4.705925980815672,11380.081109552611,198.51440002094023,0.40439605712890625,0.0
CRF,0.8271671134941911,0.8157417963105735,0.8380333663715177,0.3222175891366062,0.18840000848285854,0.9160500107100233,1.3197979988763116,43059.014551233435,13.855299999704584,2.592836380004883,0.0
BiLSTM-char-fp32,0.8536067892503536,0.8432368742928413,0.8637922137656859,3.8050743714665254,3.0811000033281744,7.956169990939088,9.21840800787323,3646.281387648441,89.07300001010299,6.239701271057129,0.0
BiLSTM-char-int8,0.8536822562107683,0.8432972173060338,0.8637345573209672,3.875896984146178,3.1413000251632184,8.28095000761095,10.0448120175861,3579.6544428419247,29.560499999206513,4.72012996673584,0.0
DistilBERT-NER,0.8977182627081314,0.8879752382640312,0.9063969095900868,73.7087271359384,66.70440000016242,115.45419998292344,128.37848198716551,188.2324169525878,1218.4694999887142,248.72175979614258,0.0
