model,threads,mean_ms,median_ms,p95_ms,p99_ms,throughput_tok_per_s
BiLSTM-char-fp32,1,2.7086539995798375,2.341049985261634,4.872629996680188,6.485037006204929,5096.62732934565
BiLSTM-char-fp32,2,2.433636000205297,1.895549998153001,6.045324998558496,6.60084301169263,5672.582094789622
BiLSTM-char-fp32,4,2.682853999285726,2.0922500116284937,5.992519995197651,7.0767530045122795,5145.639682098018
BiLSTM-char-fp32,12,3.275902501482051,2.4456000101054087,7.158964994596316,9.645599005452818,4214.105881891931
BiLSTM-char-int8,1,3.102115998917725,2.5110499846050516,6.760675000259652,8.133017992658992,4450.188195675573
BiLSTM-char-int8,2,2.776242499385262,2.028749993769452,6.534994980029295,8.338313006679522,4972.548328561649
BiLSTM-char-int8,4,3.892489999125246,2.8211499884491786,8.937745000002902,11.997146999055978,3546.5730170411175
BiLSTM-char-int8,12,7.597511500498513,5.804750006063841,16.769544994167514,21.62814100185641,1817.0423301227227
