strategy,vocab_size,unique_vectors,effective_emb_table_mb,f1
post_hoc,1000,1000,0.3814697265625,0.7334438530669227
post_hoc,2000,2000,0.762939453125,0.7879691336373202
post_hoc,5000,5000,1.9073486328125,0.832333215672432
post_hoc,10000,10000,3.814697265625,0.8510074231177095
post_hoc,10951,10951,4.1774749755859375,0.8536067892503536
retrain,2000,2000,0.762939453125,0.8110933900407584
